title,release_year,genre,director,cast,runtime,budget,revenue,ratings_imdb,verdict
Dream Unleashed,2000,"Thriller, Horror",Ayan Mukerji,"Salman Khan, Rajkummar Rao, Vicky Kaushal",130,157.54,249.66,7.0,1
Love Saga,2000,"Action, Mystery",Karan Johar,"Ranbir Kapoor, Rajkummar Rao, Sidharth Malhotra",97,50.12,60.63,8.7,1
King Affair,2000,"Romance, Romance",Farhan Akhtar,"Ranbir Kapoor, Salman Khan, Sidharth Malhotra",147,100.1,197.23,6.9,1
Dream Awakens,2000,"Action, Crime",Imtiaz Ali,"Ranbir Kapoor, Kartik Aaryan, Akshay Kumar",122,292.47,517.9,4.0,1
Heart Diaries,2000,"Comedy, Horror",Karan Johar,"Rajkummar Rao, Vicky Kaushal, Hrithik Roshan",119,286.79,951.35,4.4,2
War Diaries,2000,"Comedy, Fantasy",Sanjay Leela Bhansali,"Shah Rukh Khan, Varun Dhawan, Akshay Kumar",103,127.57,404.36,7.5,2
Dream Affair,2000,"Thriller, Thriller",S. S. Rajamouli,"Salman Khan, Kartik Aaryan, Rajkummar Rao",115,293.92,362.11,6.1,1
War Returns,2000,"Crime, Action",Farhan Akhtar,"Rajkummar Rao, Sidharth Malhotra, Ayushmann Khurrana",168,35.9,34.69,5.2,0
Hope Saga,2000,"Adventure, Action",Karan Johar,"Ayushmann Khurrana, Shah Rukh Khan, Sidharth Malhotra",125,30.02,77.65,5.6,2
Night Diaries,2000,"Crime, Fantasy",Farhan Akhtar,"Aamir Khan, Hrithik Roshan, Sidharth Malhotra",150,32.6,37.49,8.6,1
Night Chronicles,2000,"Fantasy, Crime",Ayan Mukerji,"Salman Khan, Vicky Kaushal, Ranbir Kapoor",137,30.12,70.0,8.4,2
Hope Unleashed,2000,"Action, Adventure",Rohit Shetty,"Ayushmann Khurrana, Hrithik Roshan, Rajkummar Rao",116,205.09,471.49,8.4,2
Dream Affair,2000,"Mystery, Thriller",Anurag Kashyap,"Tiger Shroff, Rajkummar Rao, Salman Khan",141,49.95,44.19,5.2,0
King Chronicles,2000,"Drama, Comedy",Sanjay Leela Bhansali,"Vicky Kaushal, Ayushmann Khurrana, Ranbir Kapoor",160,68.48,56.9,7.8,0
Dream Forever,2000,"Fantasy, Horror",Rajkumar Hirani,"Aamir Khan, Ayushmann Khurrana, Salman Khan",137,205.56,511.52,4.6,2
King Rising,2000,"Mystery, Comedy",Kabir Khan,"Akshay Kumar, Ranveer Singh, Salman Khan",121,95.05,198.92,5.7,2
Revenge Diaries,2000,"Action, Romance",Karan Johar,"Ayushmann Khurrana, Ranveer Singh, Varun Dhawan",147,83.64,266.32,5.2,2
Shadow Chronicles,2000,"Thriller, Action",Anurag Kashyap,"Aamir Khan, Kartik Aaryan, Varun Dhawan",118,119.64,296.68,6.4,2
Hope Unleashed,2000,"Comedy, Romance",Kabir Khan,"Varun Dhawan, Shah Rukh Khan, Hrithik Roshan",135,110.5,255.2,5.1,2
Shadow Returns,2000,"Horror, Mystery",Imtiaz Ali,"Hrithik Roshan, Varun Dhawan, Ayushmann Khurrana",180,252.62,554.05,4.9,2
Hope Chronicles,2000,"Horror, Horror",Kabir Khan,"Kartik Aaryan, Hrithik Roshan, Shah Rukh Khan",123,75.46,198.26,6.2,2
War Code,2000,"Comedy, Adventure",Anurag Kashyap,"Ayushmann Khurrana, Kartik Aaryan, Tiger Shroff",173,85.66,238.6,7.1,2
Hope Code,2000,"Comedy, Action",Kabir Khan,"Aamir Khan, Rajkummar Rao, Ranbir Kapoor",160,226.9,713.71,4.4,2
Hope Awakens,2000,"Horror, Adventure",Karan Johar,"Akshay Kumar, Hrithik Roshan, Salman Khan",119,163.44,407.97,9.5,2
War Rising,2000,"Fantasy, Fantasy",Zoya Akhtar,"Tiger Shroff, Varun Dhawan, Ayushmann Khurrana",143,184.75,378.45,8.6,2
Dream Chronicles,2000,"Drama, Fantasy",Anurag Kashyap,"Tiger Shroff, Ayushmann Khurrana, Sidharth Malhotra",172,265.47,905.33,7.5,2
War Chronicles,2000,"Mystery, Fantasy",Imtiaz Ali,"Tiger Shroff, Varun Dhawan, Hrithik Roshan",141,24.53,63.56,4.7,2
King Chronicles,2000,"Horror, Action",Sanjay Leela Bhansali,"Kartik Aaryan, Akshay Kumar, Ayushmann Khurrana",144,217.6,251.74,4.4,1
Night Diaries,2000,"Romance, Romance",Karan Johar,"Akshay Kumar, Varun Dhawan, Ranveer Singh",116,220.94,327.89,8.3,1
Heart Returns,2000,"Comedy, Horror",Kabir Khan,"Sidharth Malhotra, Aamir Khan, Tiger Shroff",93,222.18,148.22,7.4,0
Dream Code,2000,"Horror, Fantasy",S. S. Rajamouli,"Shah Rukh Khan, Aamir Khan, Vicky Kaushal",106,278.72,323.69,9.0,1
War Forever,2000,"Crime, Romance",Sanjay Leela Bhansali,"Sidharth Malhotra, Hrithik Roshan, Rajkummar Rao",130,200.89,489.14,6.4,2
Storm Chronicles,2000,"Adventure, Mystery",Zoya Akhtar,"Sidharth Malhotra, Aamir Khan, Ranveer Singh",146,58.48,43.04,6.0,0
Hope Forever,2000,"Romance, Crime",Zoya Akhtar,"Kartik Aaryan, Sidharth Malhotra, Varun Dhawan",100,251.31,287.31,7.3,1
Shadow Affair,2000,"Romance, Romance",Zoya Akhtar,"Ayushmann Khurrana, Ranveer Singh, Aamir Khan",123,180.74,90.98,6.2,0
Heart Affair,2000,"Crime, Comedy",Kabir Khan,"Vicky Kaushal, Rajkummar Rao, Ayushmann Khurrana",164,163.64,272.3,4.1,1
King Diaries,2000,"Action, Drama",Anurag Kashyap,"Rajkummar Rao, Kartik Aaryan, Vicky Kaushal",92,145.57,447.71,5.9,2
Revenge Saga,2000,"Drama, Thriller",Imtiaz Ali,"Varun Dhawan, Hrithik Roshan, Vicky Kaushal",144,32.32,51.04,5.3,1
Heart Returns,2000,"Horror, Comedy",Zoya Akhtar,"Akshay Kumar, Varun Dhawan, Sidharth Malhotra",133,210.68,737.25,6.3,2
Storm Chronicles,2000,"Comedy, Crime",Rohit Shetty,"Kartik Aaryan, Varun Dhawan, Vicky Kaushal",130,252.8,813.13,7.9,2
Storm Affair,2000,"Horror, Mystery",Kabir Khan,"Sidharth Malhotra, Ayushmann Khurrana, Kartik Aaryan",154,161.39,411.02,5.3,2
Love Saga,2000,"Fantasy, Adventure",Rohit Shetty,"Rajkummar Rao, Kartik Aaryan, Sidharth Malhotra",137,278.68,459.37,8.8,1
War Rising,2000,"Thriller, Mystery",S. S. Rajamouli,"Sidharth Malhotra, Vicky Kaushal, Shah Rukh Khan",163,129.19,134.9,7.8,1
Night Code,2000,"Action, Romance",Rajkumar Hirani,"Salman Khan, Tiger Shroff, Sidharth Malhotra",151,116.13,61.29,9.2,0
Hope Rising,2000,"Adventure, Crime",Rohit Shetty,"Aamir Khan, Salman Khan, Ranveer Singh",120,280.57,384.87,9.4,1
Shadow Code,2000,"Mystery, Comedy",Farhan Akhtar,"Shah Rukh Khan, Aamir Khan, Sidharth Malhotra",98,253.89,733.86,7.0,2
Revenge Saga,2000,"Romance, Horror",Ayan Mukerji,"Varun Dhawan, Ranveer Singh, Ranbir Kapoor",138,80.95,92.53,7.5,1
Night Returns,2000,"Comedy, Thriller",Anurag Kashyap,"Ayushmann Khurrana, Ranbir Kapoor, Sidharth Malhotra",160,198.92,151.22,5.2,0
King Rising,2000,"Action, Drama",Ayan Mukerji,"Vicky Kaushal, Ranbir Kapoor, Ayushmann Khurrana",143,298.16,902.26,5.8,2
Dream Affair,2000,"Romance, Crime",Anurag Kashyap,"Ayushmann Khurrana, Ranveer Singh, Ranbir Kapoor",95,106.86,312.72,6.9,2
Hope Saga,2000,"Romance, Adventure",Rohit Shetty,"Kartik Aaryan, Tiger Shroff, Ranveer Singh",114,164.67,394.39,6.7,2
Dream Affair,2000,"Comedy, Adventure",Farhan Akhtar,"Ranveer Singh, Sidharth Malhotra, Kartik Aaryan",156,287.8,172.64,7.1,0
War Unleashed,2000,"Fantasy, Mystery",Imtiaz Ali,"Tiger Shroff, Aamir Khan, Hrithik Roshan",153,256.18,480.11,8.0,1
Night Awakens,2000,"Action, Fantasy",Zoya Akhtar,"Hrithik Roshan, Ranveer Singh, Vicky Kaushal",113,196.18,529.76,4.3,2
Night Unleashed,2000,"Romance, Crime",S. S. Rajamouli,"Ranbir Kapoor, Tiger Shroff, Shah Rukh Khan",124,265.2,429.86,4.1,1
Night Diaries,2000,"Mystery, Horror",Farhan Akhtar,"Vicky Kaushal, Aamir Khan, Varun Dhawan",98,95.54,285.62,9.3,2
King Code,2000,"Fantasy, Horror",Imtiaz Ali,"Rajkummar Rao, Varun Dhawan, Sidharth Malhotra",143,98.84,319.42,9.3,2
Revenge Unleashed,2000,"Horror, Crime",Sanjay Leela Bhansali,"Ayushmann Khurrana, Hrithik Roshan, Vicky Kaushal",174,299.28,541.21,7.6,1
War Returns,2000,"Crime, Action",Zoya Akhtar,"Rajkummar Rao, Hrithik Roshan, Shah Rukh Khan",106,296.69,937.86,7.2,2
Revenge Forever,2000,"Drama, Fantasy",Sanjay Leela Bhansali,"Akshay Kumar, Ranbir Kapoor, Salman Khan",152,158.29,244.31,8.7,1
Hope Forever,2000,"Horror, Thriller",Ayan Mukerji,"Ayushmann Khurrana, Shah Rukh Khan, Sidharth Malhotra",99,195.3,175.28,4.8,0
War Awakens,2000,"Adventure, Romance",S. S. Rajamouli,"Aamir Khan, Shah Rukh Khan, Rajkummar Rao",128,25.25,63.99,4.6,2
Night Saga,2000,"Thriller, Horror",Farhan Akhtar,"Sidharth Malhotra, Ayushmann Khurrana, Salman Khan",122,176.76,315.9,8.0,1
Hope Returns,2000,"Mystery, Action",Rohit Shetty,"Salman Khan, Akshay Kumar, Shah Rukh Khan",160,105.82,115.05,8.5,1
Heart Affair,2000,"Fantasy, Thriller",Farhan Akhtar,"Rajkummar Rao, Sidharth Malhotra, Akshay Kumar",140,210.15,660.39,5.4,2
War Unleashed,2000,"Romance, Horror",S. S. Rajamouli,"Ranbir Kapoor, Akshay Kumar, Rajkummar Rao",102,250.67,742.88,5.4,2
Hope Returns,2000,"Adventure, Horror",Sanjay Leela Bhansali,"Sidharth Malhotra, Shah Rukh Khan, Rajkummar Rao",129,121.51,259.92,6.3,2
Love Rising,2000,"Crime, Action",Rohit Shetty,"Varun Dhawan, Hrithik Roshan, Salman Khan",118,234.26,238.88,8.1,1
Love Unleashed,2000,"Comedy, Thriller",Rajkumar Hirani,"Ranveer Singh, Shah Rukh Khan, Vicky Kaushal",137,69.38,100.36,6.4,1
Love Code,2000,"Fantasy, Crime",Sanjay Leela Bhansali,"Varun Dhawan, Rajkummar Rao, Akshay Kumar",161,144.73,344.55,6.5,2
Love Awakens,2000,"Adventure, Crime",Rajkumar Hirani,"Aamir Khan, Hrithik Roshan, Ayushmann Khurrana",129,175.27,357.2,8.9,2
King Saga,2000,"Fantasy, Thriller",Ayan Mukerji,"Salman Khan, Ayushmann Khurrana, Akshay Kumar",113,223.71,691.13,7.3,2
King Awakens,2000,"Adventure, Horror",Karan Johar,"Salman Khan, Ayushmann Khurrana, Varun Dhawan",145,209.37,628.25,4.5,2
Storm Diaries,2000,"Horror, Fantasy",Anurag Kashyap,"Aamir Khan, Ranveer Singh, Ranbir Kapoor",136,276.89,458.58,7.2,1
Dream Code,2000,"Action, Comedy",Imtiaz Ali,"Shah Rukh Khan, Ranveer Singh, Ranbir Kapoor",144,183.88,223.27,4.2,1
Hope Forever,2000,"Romance, Romance",Imtiaz Ali,"Shah Rukh Khan, Ayushmann Khurrana, Vicky Kaushal",103,224.67,445.07,4.8,1
Love Awakens,2000,"Comedy, Comedy",Anurag Kashyap,"Ayushmann Khurrana, Aamir Khan, Vicky Kaushal",129,179.84,508.33,8.7,2
Hope Saga,2000,"Romance, Thriller",Rohit Shetty,"Hrithik Roshan, Vicky Kaushal, Salman Khan",122,25.19,70.56,6.5,2
War Returns,2000,"Action, Fantasy",Anurag Kashyap,"Kartik Aaryan, Salman Khan, Rajkummar Rao",140,225.11,652.8,6.9,2
Love Unleashed,2000,"Thriller, Horror",Ayan Mukerji,"Ayushmann Khurrana, Ranbir Kapoor, Salman Khan",106,87.55,116.53,6.8,1
Hope Code,2000,"Adventure, Comedy",Sanjay Leela Bhansali,"Rajkummar Rao, Tiger Shroff, Hrithik Roshan",93,151.56,524.87,8.4,2
Dream Affair,2000,"Comedy, Adventure",Imtiaz Ali,"Ayushmann Khurrana, Rajkummar Rao, Sidharth Malhotra",144,53.11,114.96,5.9,2
Revenge Diaries,2000,"Drama, Romance",Kabir Khan,"Ranveer Singh, Vicky Kaushal, Ranbir Kapoor",146,57.92,100.48,8.4,1
Night Returns,2000,"Adventure, Thriller",Zoya Akhtar,"Kartik Aaryan, Shah Rukh Khan, Ranveer Singh",116,201.56,375.03,5.2,1
Revenge Rising,2000,"Mystery, Thriller",S. S. Rajamouli,"Varun Dhawan, Tiger Shroff, Ranveer Singh",150,184.57,521.12,4.9,2
War Chronicles,2000,"Romance, Mystery",Zoya Akhtar,"Vicky Kaushal, Salman Khan, Sidharth Malhotra",139,77.29,247.0,6.2,2
Heart Saga,2000,"Action, Mystery",Rohit Shetty,"Ranbir Kapoor, Sidharth Malhotra, Shah Rukh Khan",127,185.29,276.78,8.1,1
War Rising,2000,"Drama, Crime",Imtiaz Ali,"Aamir Khan, Akshay Kumar, Kartik Aaryan",136,257.26,613.66,8.0,2
Dream Code,2000,"Romance, Comedy",Karan Johar,"Ranbir Kapoor, Vicky Kaushal, Shah Rukh Khan",171,248.75,238.77,6.7,0
Storm Returns,2000,"Action, Drama",Karan Johar,"Sidharth Malhotra, Tiger Shroff, Hrithik Roshan",121,181.26,485.43,4.6,2
King Chronicles,2000,"Action, Drama",Rohit Shetty,"Ranbir Kapoor, Shah Rukh Khan, Kartik Aaryan",178,149.31,347.86,8.1,2
War Affair,2000,"Mystery, Comedy",Rohit Shetty,"Ayushmann Khurrana, Tiger Shroff, Varun Dhawan",98,170.76,527.01,8.7,2
Shadow Chronicles,2000,"Crime, Adventure",Farhan Akhtar,"Hrithik Roshan, Shah Rukh Khan, Akshay Kumar",151,215.93,331.95,5.5,1
Shadow Awakens,2000,"Crime, Horror",Rohit Shetty,"Tiger Shroff, Vicky Kaushal, Salman Khan",130,88.8,175.61,9.3,1
Shadow Code,2000,"Romance, Adventure",S. S. Rajamouli,"Salman Khan, Shah Rukh Khan, Rajkummar Rao",115,235.93,421.66,5.7,1
Shadow Diaries,2000,"Mystery, Horror",Rohit Shetty,"Ranveer Singh, Shah Rukh Khan, Vicky Kaushal",180,176.56,299.81,5.5,1
Storm Saga,2000,"Comedy, Adventure",Imtiaz Ali,"Akshay Kumar, Vicky Kaushal, Tiger Shroff",106,99.06,64.73,8.8,0
Revenge Diaries,2000,"Comedy, Thriller",Rohit Shetty,"Ranbir Kapoor, Vicky Kaushal, Akshay Kumar",137,84.59,81.71,8.0,0
Night Rising,2000,"Action, Fantasy",Anurag Kashyap,"Tiger Shroff, Ranbir Kapoor, Rajkummar Rao",106,156.4,512.94,9.0,2
Night Returns,2000,"Horror, Romance",Imtiaz Ali,"Ayushmann Khurrana, Varun Dhawan, Tiger Shroff",118,125.56,92.11,7.3,0
War Returns,2000,"Crime, Action",Zoya Akhtar,"Ayushmann Khurrana, Hrithik Roshan, Ranbir Kapoor",110,87.28,95.12,7.7,1
Hope Affair,2000,"Crime, Adventure",Zoya Akhtar,"Kartik Aaryan, Hrithik Roshan, Vicky Kaushal",145,223.63,202.47,8.7,0
Shadow Rising,2000,"Romance, Adventure",Rohit Shetty,"Rajkummar Rao, Sidharth Malhotra, Kartik Aaryan",162,82.45,137.61,7.0,1
Shadow Rising,2000,"Fantasy, Thriller",Zoya Akhtar,"Rajkummar Rao, Hrithik Roshan, Salman Khan",104,147.41,264.61,4.6,1
Storm Code,2000,"Crime, Mystery",Zoya Akhtar,"Vicky Kaushal, Sidharth Malhotra, Hrithik Roshan",167,276.24,293.11,6.6,1
Shadow Chronicles,2000,"Adventure, Comedy",Ayan Mukerji,"Aamir Khan, Sidharth Malhotra, Salman Khan",177,161.6,489.26,6.4,2
War Diaries,2000,"Adventure, Adventure",Ayan Mukerji,"Aamir Khan, Vicky Kaushal, Rajkummar Rao",137,96.71,277.55,5.8,2
King Unleashed,2000,"Fantasy, Adventure",Kabir Khan,"Vicky Kaushal, Hrithik Roshan, Kartik Aaryan",139,220.69,307.75,6.6,1
Revenge Code,2000,"Comedy, Comedy",Anurag Kashyap,"Shah Rukh Khan, Varun Dhawan, Hrithik Roshan",109,239.72,314.34,7.2,1
War Returns,2000,"Comedy, Thriller",Ayan Mukerji,"Vicky Kaushal, Ranbir Kapoor, Kartik Aaryan",162,124.49,319.76,5.7,2
Shadow Rising,2000,"Horror, Romance",Sanjay Leela Bhansali,"Varun Dhawan, Sidharth Malhotra, Shah Rukh Khan",91,128.48,257.26,8.2,2
King Returns,2000,"Drama, Mystery",Rajkumar Hirani,"Salman Khan, Shah Rukh Khan, Rajkummar Rao",134,139.4,196.81,6.9,1
King Forever,2000,"Horror, Comedy",Zoya Akhtar,"Varun Dhawan, Vicky Kaushal, Ranveer Singh",137,99.96,157.73,9.2,1
Hope Awakens,2000,"Action, Mystery",Karan Johar,"Kartik Aaryan, Ranbir Kapoor, Varun Dhawan",155,202.78,386.37,6.9,1
Shadow Returns,2000,"Drama, Fantasy",Kabir Khan,"Vicky Kaushal, Akshay Kumar, Aamir Khan",169,287.64,869.18,8.5,2
Dream Forever,2000,"Crime, Fantasy",Karan Johar,"Varun Dhawan, Aamir Khan, Salman Khan",106,80.04,123.18,5.5,1
Storm Returns,2000,"Action, Crime",Imtiaz Ali,"Akshay Kumar, Ranbir Kapoor, Vicky Kaushal",101,135.64,264.33,6.1,1
Night Chronicles,2000,"Fantasy, Thriller",Imtiaz Ali,"Tiger Shroff, Hrithik Roshan, Varun Dhawan",140,177.44,106.24,9.3,0
Revenge Code,2000,"Action, Thriller",Farhan Akhtar,"Sidharth Malhotra, Tiger Shroff, Ayushmann Khurrana",102,131.67,435.25,6.8,2
Dream Rising,2000,"Thriller, Crime",Imtiaz Ali,"Rajkummar Rao, Tiger Shroff, Ayushmann Khurrana",102,103.49,341.68,5.2,2
Hope Diaries,2000,"Fantasy, Mystery",Ayan Mukerji,"Rajkummar Rao, Akshay Kumar, Aamir Khan",161,99.51,164.07,9.3,1
Heart Saga,2000,"Comedy, Action",Farhan Akhtar,"Ayushmann Khurrana, Ranbir Kapoor, Kartik Aaryan",147,232.93,135.11,6.0,0
Heart Unleashed,2000,"Drama, Action",Zoya Akhtar,"Kartik Aaryan, Hrithik Roshan, Vicky Kaushal",155,35.7,103.64,8.7,2
King Rising,2000,"Thriller, Romance",S. S. Rajamouli,"Ranveer Singh, Rajkummar Rao, Salman Khan",169,234.46,414.61,8.4,1
Dream Chronicles,2000,"Horror, Action",Karan Johar,"Vicky Kaushal, Rajkummar Rao, Sidharth Malhotra",124,265.04,235.5,4.9,0
Shadow Affair,2000,"Romance, Comedy",S. S. Rajamouli,"Salman Khan, Akshay Kumar, Ayushmann Khurrana",106,134.37,335.08,7.8,2
Dream Rising,2000,"Horror, Crime",Imtiaz Ali,"Hrithik Roshan, Akshay Kumar, Rajkummar Rao",171,186.56,173.87,8.4,0
Hope Returns,2000,"Crime, Mystery",Sanjay Leela Bhansali,"Varun Dhawan, Aamir Khan, Ayushmann Khurrana",90,88.31,241.21,5.9,2
Shadow Affair,2000,"Horror, Horror",Zoya Akhtar,"Ranbir Kapoor, Kartik Aaryan, Varun Dhawan",124,76.96,164.53,5.0,2
Storm Affair,2000,"Adventure, Action",Rajkumar Hirani,"Sidharth Malhotra, Salman Khan, Tiger Shroff",122,43.09,135.09,5.8,2
Shadow Awakens,2000,"Thriller, Mystery",Ayan Mukerji,"Tiger Shroff, Hrithik Roshan, Varun Dhawan",114,76.33,51.91,5.9,0
King Diaries,2000,"Fantasy, Romance",Rajkumar Hirani,"Ayushmann Khurrana, Ranveer Singh, Salman Khan",94,111.67,330.07,7.0,2
Night Rising,2000,"Action, Mystery",Rajkumar Hirani,"Varun Dhawan, Vicky Kaushal, Kartik Aaryan",114,40.39,51.39,9.3,1
